id,key,value,type
50892039,oneway,yes,regular
50892039,highway,secondary,regular
50892039,en,Xiang Gang Rd,name
50892039,zh,香港路,name
50892043,name,惠济一路,regular
50892043,highway,residential,regular
51081569,highway,residential,regular
51081575,name,美庐路,regular
51081575,highway,tertiary,regular
51081576,name,后湖二路,regular
51081576,highway,tertiary,regular
51209732,name,友谊大道,regular
51209732,layer,1,regular
51209732,bridge,yes,regular
51209732,oneway,yes,regular
51209732,highway,primary,regular
51209733,highway,residential,regular
51209734,highway,tertiary,regular
51404404,name,育才路,regular
51404404,highway,residential,regular
51404406,name,张自忠路,regular
51404406,oneway,yes,regular
51404406,highway,residential,regular
51815946,ref,G4,regular
51815946,name,京珠高速,regular
51815946,lanes,2,regular
51815946,oneway,yes,regular
51815946,highway,motorway,regular
51815946,int_ref,AH1,regular
51815946,en,Jingzhu Expressway,name
51815947,oneway,yes,regular
51815947,source,osm-gpx,regular
51815947,highway,motorway_link,regular
51815949,ref,G4,regular
51815949,name,京珠高速,regular
51815949,lanes,2,regular
51815949,layer,1,regular
51815949,bridge,yes,regular
51815949,oneway,yes,regular
51815949,source,satellite,regular
51815949,highway,motorway,regular
51815949,int_ref,AH1,regular
51815949,en,Jingzhu Expressway,name
51815950,ref,G4,regular
51815950,name,京珠高速,regular
51815950,lanes,2,regular
51815950,layer,1,regular
51815950,bridge,yes,regular
51815950,oneway,yes,regular
51815950,source,satellite,regular
51815950,highway,motorway,regular
51815950,int_ref,AH1,regular
51815950,en,Jingzhu Expressway,name
51815951,oneway,yes,regular
51815951,source,osm-gpx,regular
51815951,highway,motorway_link,regular
51815952,ref,G4,regular
51815952,name,京珠高速,regular
51815952,lanes,2,regular
51815952,oneway,yes,regular
51815952,source,satellite,regular
51815952,highway,motorway,regular
51815952,int_ref,AH1,regular
51815952,en,Jingzhu Expressway,name
51815953,ref,G4,regular
51815953,name,京珠高速,regular
51815953,lanes,2,regular
51815953,layer,1,regular
51815953,bridge,yes,regular
51815953,oneway,yes,regular
51815953,source,satellite,regular
51815953,highway,motorway,regular
51815953,int_ref,AH1,regular
51815953,en,Jingzhu Expressway,name
51815954,ref,G4,regular
51815954,name,京珠高速,regular
51815954,lanes,2,regular
51815954,layer,1,regular
51815954,bridge,yes,regular
51815954,oneway,yes,regular
51815954,source,satellite,regular
51815954,highway,motorway,regular
51815954,int_ref,AH1,regular
51815954,en,Jingzhu Expressway,name
51815955,ref,G107;G316,regular
51815955,name,解放大道,regular
51815955,lanes,3,regular
51815955,oneway,yes,regular
51815955,source,Yahoo,regular
51815955,highway,primary,regular
51815955,zh,解放大道,name
51815955,zh_pinyin,Jiefang Dadao,name
51815957,oneway,yes,regular
51815957,highway,motorway_link,regular
51816568,ref,S104,regular
51816568,layer,1,regular
51816568,bridge,yes,regular
51816568,oneway,yes,regular
51816568,source,Yahoo hires,regular
51816568,highway,primary,regular
51816569,ref,S104,regular
51816569,oneway,yes,regular
51816569,highway,primary,regular
